abandon abandonment
abate abatement
abbreviate abbreviation
abdicate abdication
abduce abduction
abduct abduction
abet abetment
abhor abhorrer
abjure abjuration
ablate ablation
abnegate abnegation
abolish abolishment
abominate abomination
abort abortion
abrade abrasion
abrase abrasion
abreact abreaction
abridge abridgement
abrogate abrogation
abscond abscondment
absorb absorption
abstract abstraction
abuse abuse
abut abutment
accede accession
accelerate acceleration
accentuate accentuation
accept acceptance
access access
acclimate acclimation
acclimatize acclimatization
accommodate accommodation
accompany accompaniment accompanist
accomplish accomplishment
accord accord
account accounting
accouter accouterment
accoutre accoutrement
accredit accreditation
accrete accretion
accrue accrual
acculturate acculturation
accumulate accumulation
accuse accusal accuser
acetylate acetylation
achieve achievement
acidify acidification
acknowledge acknowledgement
acquaint acquaintance
acquire acquisition acquirer
acquit acquittal
act act actor
activate activation
actualize actualization
actuate actuation
adapt adaptation
add addition
addict addiction
address address
adjourn adjournment
adjudicate adjudication adjudicator
adjure adjuration
adjust adjustment adjuster
administer administration administrator
administrate administration
admire admiration admirer
admit admission
admonish admonishment
adopt adoption
adore adoration
adorn adornment
adsorb adsorption
adulate adulation
adulterate adulteration
advance advance
advertise advertisement advertiser
advise advice adviser
aerate aeration
aestivate aestivation
affect affectation
affiliate affiliation
affirm affirmation
afflict affliction
afforest afforestation
age aging
agglomerate agglomeration
agglutinate agglutination
aggrandize aggrandizement
aggravate aggravation
aggregate aggregation
agitate agitation
agree agreement
aid aid
ail ailment
aim aim
air airing
alienate alienation
align alignment
aliment alimentation
aline alinement
allege allegation
alleviate alleviation
alliterate alliteration
allocate allocation
allot allotment
allow allowance
allude allusion
allure allurement
ally alliance
alphabetize alphabetization
alter alteration
altercate altercation
alternate alternation
amalgamate amalgamation
amaze amazement
ameliorate amelioration
amend amendment
amerce amercement
aminate amination
amortise amortisation
amortize amortization
amount amount
amplify amplification
amputate amputation
amuse amusement
analyse analyst
analyze analysis analyst
anchor anchor
anger anger
angle angler
animalize animalization
animate animation
annex annexation
annihilate annihilation
annotate annotation
announce announcement announcer
annoy annoyance
annul annulment
anoint anointment
answer answer
anticipate anticipation
appeal appeal
appear appearance
appease appeasement
apperceive apperception
applaud applause
apply appliance
appoint appointment
apportion apportionment
appose apposition
appraise appraisal appraiser
appreciate appreciation
apprise apprisal
approach approach
approbate approbation
appropriate appropriation
approve approval
approximate approximation
arbitrate arbitration arbitrator
archaize archaicism
argue argument
arouse arousal
arraign arraignment
arrange arrangement arranger
arrest arrest
arrive arrival
arrogate arrogation
articulate articulation
ascend ascendance
ask asking
asperse aspersion
asphyxiate asphyxiation
aspirate aspiration
aspire aspiration
assassinate assassination assassin
assemble assembly
assert assertion
assess assessment assessor
asseverate asseveration
assign assignation
assimilate assimilation
assist assistance assistant
associate association
assort assortment
assuage assuagement
assume assumption
assure assurance
astonish astonishment
atomize atomization
atone atonement
attach attachment
attack attack attacker
attain attainment
attempt attempt
attend attendance
attenuate attenuation
attest attestation
attract attraction
attribute attribution
auction auction
auctioneer auctioneer
audit audit auditor
augment augmentation
auscultate auscultation
authenticate authentication
author author
authorise authorisation
authorize authorization
automate automation
autophosphorylate autophosphorylation
aviate aviation
avoid avoidance
award award
babysit babysitter
back up back-up
back backing backer
baffle bafflement
bag bagger
bake baker
balance balance
balloon ballooning
ban ban
banish banishment
bank banking
bankrupt bankruptcy
barbarise barbarisation
barbarize barbarization
bargain bargaining
bartend bartender
base basis
bastardise bastardisation
bastardize bastardization
bathe bath
battle battle
bear bearing
beat beating
beatify beatification
beautify beautification
bedevil bedevilment
befoul befoulment
befuddle befuddlement
beg beggar
beget begetter
begin beginning beginner
beguile beguilement
behave behavior
believe belief believer
belong belonging
benefit benefit
bereave bereavement
bet bet
better betterment
bewilder bewilderment
bewitch bewitchment
bid bid bidder
bifurcate bifurcation
bill billing
bisect bisection
blame blame
blandish blandishment
blaspheme blasphemy
block blocking
blow blow blower
boast boast
bombard bombardment
bond bondage
boom boom
boost boost booster
borrow borrowing borrower
bounce bounce
bowdlerise bowdlerisation
bowdlerize bowdlerization
box boxer
brachiate brachiation
breach breach
break up break-up
break breaking breaker
breathe breath
breed breeding breeder
brew brewing brewer
bribe bribe
broadcast broadcast broadcaster
broaden broadening
brutalise brutalisation
brutalize brutalization
bugle bugler
build building builder
burn burning
bury burial
butcher butcher
buy out buy-out
buy purchase buyer
buzz buzzer
caddie caddie
calcify calcification
calcine calcination
calculate calculation calculator
calibrate calibration
call call caller
camp camper
campaign campaign
canalize canalization
cancel cancellation
canonize canonization
canton cantonment
capitalize capitalization
capitulate capitulation
captivate captivation
capture capture
carbonate carbonation
carbonize carbonization
care care
carol caroller
carouse carousal
carry carrying
carve carver
cast cast
castigate castigation
castrate castration
catalyze catalysis
catch catch catcher
categorize categorization
cater catering caterer
cause causation
cauterize cauterization
caution caution
cease cessation
cede cession
celebrate celebration
center centering
centralize centralization
centrifugate centrifugation
centrifuge centrifugation
cerebrate cerebration
certificate certification
certify certification
chair chair
challenge challenge challenger
change change
channelize channelization
chant cantor
characterize characterization
charge charge
chase chase chaser
chastise chastisement
cheat cheater
check check
chelate chelation
chemisorb chemisorption
chisel chiseller
chlorinate chlorination
choose choice
choreograph choreographer
chronicle chronicler
circularise circularisation
circularize circularization
circulate circulation
circumcise circumcision
circumnavigate circumnavigation
circumvent circumvention
circumvolute circumvolution
cite citation
civilize civilization
claim claim
clap clapper
clarify clarification
classify classification
clean up clean-up
clean cleaner
clear clearance
climb climb climber
close closing
co-produce co-production
coach coach
coact coaction
coactivate coactivation
coagulate coagulation
code coder
codify codification
coerce coercion
cogitate cogitation
cohabit cohabitation
coimmunoprecipitate coimmunoprecipitation
collaborate collaboration collaborator
collapse collapse
collate collation
collect collection collector
collectivise collectivisation
collectivize collectivization
collide collision
collocate collocation
collude collusion
colonize colonization
color coloration
combat combat
combine combination
combust combustion
command commandment commander
commemorate commemoration
commence commencement
commend commendation
comment comment commentator
commercialize commercialization
commiserate commiseration
commission commissioning
commit commission
commune communion
communicate communication
communize communization
commutate commutation
commute commutation commuter
compact compaction
compare comparison
compart compartment
compel compulsion
compensate compensation
compete competition
compile compilation compiler
complain complaint
complement complementation
complete completion
complicate complication
comply compliance
comport comportment
compose composition composer
compound compounding
compress compression
compromise compromise
compute computation computer
concatenate concatenation
conceal concealment
concede concession
conceive conception conceiver
concentrate concentration
conceptualise conceptualisation
conceptualize conceptualization
concern concern
conciliate conciliation
conclude conclusion
concoct concoction
concrete concretion
condemn condemnation
condense condensation
condone condonation
conduct conduct conductor
confabulate confabulation
confect confection
confection confectioner
confederate confederation
confer conferment
confess confession
configure configuration
confine confinement
confirm confirmation
confiscate confiscation
conflate conflation
conform conformance
confront confrontation
confuse confusion
confute confutation
congest congestion
conglomerate conglomeration
congratulate congratulation
congregate congregation
conjugate conjugation
conjure conjuration conjeror
connect connection
connote connotation
conquer conquest conqueror
conscript conscription
consecrate consecration
conserve conservation
consider consideration
consign consignment
console consolation
consolidate consolidation
conspire conspiracy
constellate constellation
consternate consternation
constipate constipation
constitute constitution
constrict constriction
construct construction
construe construal
consult consultation
consume consumption consumer
consummate consummation
contact contact
contain containment
contaminate contamination
contemplate contemplation
contend contention
content contention
contest contestation
continue continuation
contort contortion
contract contraction contractor
contradict contradiction
contrast contrast
contravene contravention
contribute contribution contributor
control control controller
contuse contusion
convect convection
convene convention
conventionalise conventionalisation
conventionalize conventionalization
converse conversation
convert conversion
convey conveyance conveyor
convict conviction
convolute convolution
convulse convulsion
cook cook
cool cooling
cooper cooperation
cooperate cooperation
coordinate coordination coordinator
copulate copulation
copy copying
coronate coronation
corrade corrasion
correct correction
correlate correlation
corroborate corroboration
corrode corrosion
corrugate corrugation
corrupt corruption
cost cost
cotransfect cotransfection
counsel counselor
count count
counteract counteraction
couple coupling
court courting
cover coverage
crack cracking
crash crash
create creation creator
credit credit
cremate cremation
crenel crenelation
crenelate crenelation
crenellate crenellation
crepitate crepitation
criticize criticism
cross crossing
crowd crowd
cruise cruise
crusade crusader
crush crush
crystallize crystallization
culminate culmination
cultivate cultivation
curb curb
cure cure
curtail curtailment
cut back cut-back
cut off cut-off
cut cut cutter
dally dalliance
damage damage
damn damnation
dance dance dancer
date date
deacetylate deacetylation
deactivate deactivation
deal deal dealer
deaminate deamination
debar debarment
debark debarkation
debase debasement
debate debate
debilitate debilitation
decamp decampment
decapitate decapitation
deceive deception
decelerate deceleration
decentralise decentralisation
decentralize decentralization
decide decision
decimalise decimalisation
decimalize decimalization
decimate decimation
declare declaration
declassify declassification
decline declination
decoct decoction
decode decoder
decolonize decolonization
decompose decomposition
decompress decompression
decontaminate decontamination
decorate decoration decorator
decrease decrease
decree decrement
dedicate dedication
deduce deduction
deduct deduction
deface defacement
defame defamation
defarnesylate defarnesylation
default default defaulter
defeat defeat
defecate defecation
defect defection
defend defense defender
defer deferment
defile defilement
define definition
deflate deflation
deflect deflection
defoliate defoliation
deforest deforestation
deform deformation
defray defrayment
defy defiance
degenerate degeneration
deglycosylate deglycosylation
degrade degradation
dehumanize dehumanization
dehydrate dehydration
deify deification
deject dejection
delay delay
delegate delegation
delete deletion
deliberate deliberation
delimit delimitation
delimitate delimitation
delineate delineation
deliver deliverance
delocalize delocalization
delude delusion
demagnetize demagnetization
demand demand
demarcate demarcation
demethylate demethylation
demobilize demobilization
democratize democratization
demolish demolition
demonetize demonetization
demonstrate demonstration
demoralize demoralization
demote demotion
demythologize demythologization
denationalize denationalization
denigrate denigration
denominate denomination
denote denotation
denounce denouncement
denudate denudation
denude denudation
deny denial
depalmitoylate depalmitoylation
depart department
depend dependance
dephosphorylate dephosphorylation
depict depiction
deplete depletion
deploy deployment
depopulate depopulation
deport deportation
depose deposition
deposit deposit depositor
deprecate deprecation
depreciate depreciation
depress depression
deprive deprivation
depute deputation
derail derailment
derange derangement
deregulate deregulation
deride derision
derive derivation
derogate derogation
desalinate desalination
desalinize desalinization
describe description
desecrate desecration
desegregate desegregation
desensitize desensitization
desert desertion
design design designer
designate designation
desire desire
desolate desolation
despise despisal
despoil despoilment
dessicate dessication
destine destination
destroy destruction
desynchronize desynchronization
detach detachment
detail detail
detect detection
deter determent
deteriorate deterioration
determine determination
detest detestation
dethrone dethronement
detonate detonation
detoxify detoxification
detract detraction detractor
detribalize detribalization
devaluate devaluation
devalue devaluation
devastate devastation
develop development developer
deviate deviation
devise devisal
devitalise devitalisation
devitalize devitalization
devote devotion
diagonalize diagonalization
dialyze dialysis
dichotomize dichotomization
dictate dictation dictator
die death
differ difference
differentiate differentiation
diffract diffraction
diffuse diffusion
dig digger
digest digestion
digitalize digitalization
digress digression
dilapidate dilapidation
dilate dilatation
dilute dilution
dimerize dimerization
diminish diminution
dine diner
dip dip
direct direction director
disable disablement
disaffect disaffection
disagree disagreement
disappear disappearance
disappoint disappointment
disapprove disapproval
disarrange disarrangement
disassemble disassembly
disassociate disassociation
disband disbandment
disbar disbarment
disbelieve disbelief
disburse disbursal
discern discernment
disclose disclosure
discolor discoloration
discolour discolouration
discombobulate discombobulation
disconcert disconcertion
disconnect disconnection
discontent discontentment
discontinue discontinuation
discord discordance
discount discount
discourage discouragement
discover discovery
discriminate discrimination
discuss discussion
disembark disembarkation
disembarrass disembarrassment
disenchant disenchantment
disengage disengagement
disentangle disentanglement
disestablish disestablishment
disfigure disfigurement
disfranchise disfranchisement
disgorge disgorgement
dishearten disheartenment
disillusion disillusionment
disincline disinclination
disinfect disinfection
disinfest disinfestation
disinherit disinheritance
disintegrate disintegration
disinter disinterment
dislocate dislocation
dislodge dislodgement
dismantle dismantlement
dismember dismemberment
dismiss dismissal
disobey disobedience
disorganize disorganization
disorient disorientation
disorientate disorientation
disown disownment
disparage disparagement
dispatch dispatcher
dispense dispensation
disperse dispersal
displace displacement
display display
dispose disposal
dispossess dispossession
dispute disputation
disqualify disqualification
disrupt disruption
dissect dissection
disseminate dissemination
dissent dissenter
dissimilate dissimilation
dissimulate dissimulation
dissipate dissipation
dissociate dissociation
dissolve dissolution
dissuade dissuasion
distill distillation distiller
distort distortion
distract distraction
distribute distribution distributor
disturb disturbance
divagate divagation
divaricate divarication
dive diver
diversify diversification
divert diversion
divide division
divine divination
divorce divorcement
divulge divulgement
document documentation
dodge dodger
domesticate domestication
dominate domination
donate donation
double doubling
doubt doubt doubter
downgrade downgrade
downmodulate downmodulation
downregulate downregulation
draft draft
drag dragger
drain drain
dramatise dramatisation
dramatize dramatization
draw drawing illustrator
dress dressing
drift drift
drill drill
drink drinking drinker
drive drive driver
drop drop
drum drummer
dub dubbing
duel dueller
dump dump
duplicate duplication
dwell dweller
dye dyer
dysregulate dysregulation
earn earning earner
ease easing
eat consumption eater
echo echo
edify edification
edit edition editor
educate education
efface effacement
effectuate effectuation
effuse effusion
ejaculate ejaculation
eject ejection
elaborate elaboration
elate elation
elect election
electrify electrification
electrocute electrocution
elevate elevation
elicit elicitation
elide elision
eliminate elimination
elongate elongation
elope elopement
elucidate elucidation
elude elusion
elute elution
emaciate emaciation
emanate emanation
emancipate emancipation
emasculate emasculation
embalm embalmment embalmer
embark embarkation
embarrass embarrassment
embellish embellishment
embezzle embezzlement
embitter embitterment
embody embodiment
emboss embossment
embroider embroiderer
embroil embroilment
emend emendation
emerge emergence
emigrate emigration
emit emission emitter
emote emotion
emphasize emphasis
employ employment employer
empower empowerment
emulate emulation
enact enactment
encamp encampment
encase encasement
enchant enchantment
encircle encirclement
encode encoder
encompass encompassment
encounter encounter
encourage encouragement
encroach encroachment
encrust encrustation
end end
endanger endangerment
endear endearment
endorse endorsement
endow endowment
endure endurance
enervate enervation
enfeeble enfeeblement
enforce enforcement enforcer
enfranchise enfranchisement
engage engagement
engineer engineering engineer
engross engrossment
enhance enhancement
enjoin enjoinment
enjoy enjoyment
enlarge enlargement
enlighten enlightenment
enlist enlistment
ennoble ennoblement
enquire enquiry enquirer
enrage enragement
enrich enrichment
enroll enrollment
enslave enslavement
entail entailment
entangle entanglement
enter entrance
entertain entertainment entertainer
enthrall enthrallment
enthrone enthronement
entice enticement
entitle entitlement
entomb entombment
entrance entrancement
entrench entrenchment
enumerate enumeration
enunciate enunciation
envelop envelopment
environ environment
equal equality
equalize equalization
equate equation
equip equipment
equivocate equivocation
eradicate eradication
erase erasure
erect erection
erode erosion
eruct eructation
erupt eruption
escalate escalation
escape escape
espouse espousal
establish establishment
estimate estimate estimator
estivate estivation
estrange estrangement
evacuate evacuation
evade evasion
evaluate evaluation evaluator
evaporate evaporation
evict eviction
evolve evolution
exacerbate exacerbation
exact exaction
exaggerate exaggeration
exalt exaltation
examine examination examiner
exasperate exasperation
excavate excavation excavator
exceed excess
except exception
exchange exchange
excise excision
excite excitation
exclude exclusion
excogitate excogitation
excommunicate excommunication
excoriate excoriation
excrete excretion
excruciate excruciation
exculpate exculpation
excuse excuse
execrate execration
execute execution executor
exemplify exemplification
exempt exemption
exercise exercise
exert exertion
exhale exhalation
exhaust exhaustion
exhibit exhibition exhibitor
exhilarate exhilaration
exhort exhortation
exhume exhumation
exist existence
exonerate exoneration
expand expansion
expatriate expatriation
expect expectation
expectorate expectoration
expedite expedition
expel expulsion
experience experience
experiment experiment
expiate expiation
expire expiration
explain explanation
explicate explication
explode explosion
exploit exploitation exploiter
explore exploration
export export exporter
expose exposition
exposit exposition
expostulate expostulation
express expression
expropriate expropriation
expurgate expurgation
extemporise extemporisation
extemporize extemporization
extend extension
extenuate extenuation
exteriorize exteriorization
exterminate extermination
externalise externalisation
externalize externalization
extirpate extirpation
extol extoller
extort extortion
extract extraction
extradite extradition
extrapolate extrapolation
extricate extrication
extrude extrusion
exudate exudation
exude exudation
exult exultation
fabricate fabrication fabricator
facilitate facilitation facilitator
factorize factorization
fail failure
fall fall
falsify falsification
familiarize familiarization
farm farmer
farnesylate farnesylation
fascinate fascination
father father
favor favor
fear fear
federalize federalization
federate federation
feed feeding
feel feeling
felicitate felicitation
fellate fellation
ferment fermentation
fertilize fertilization
fictionalize fictionalization
fight fight fighter
file filing
fill filling
filter filtration
filtrate filtration
finalize finalization
finance financing
find finding
fine fining
finish finish
fire firing
fish fisher
fit fitting
fix fix
fixate fixation
flagellate flagellation
flap flapper
flash flash
flee flight
flirt flirtation
float floatation
flocculate flocculation
flood flood
flow flow
fluctuate fluctuation
fluoridate fluoridation
fluoridize fluoridization
fly flight flyer
focus focus
foliate foliation
follow following follower
foment fomentation
forbear forbearance
forecast forecast forecaster
forfeit forfeiture
forge forgery forger
form formation
formalise formalisation
formalize formalization
formulate formulation
fornicate fornication
fortify fortification
fossilize fossilization
found foundation founder
fraction fractionation
fractionate fractionation
fragment fragmentation
frame framer
fraternize fraternization
free liberation
freeze freeze
fructify fructification
fruit fruition
frustrate frustration
fulfil fulfilment
fulfill fulfillment
fulminate fulmination
fumigate fumigation
function function
fund fund
further furtherance
fuse fusion
gain gain
gamble gamble gambler
garden gardener
gasify gasification
gather gathering
geminate gemination
generalize generalization
generate generation generator
genuflect genuflection
geranylgeranylate geranylgeranylation
germinate germination
gesticulate gesticulation
give gift
glamorize glamorization
glaze glazer
glorify glorification
glycosylate glycosylation
golf golfer
govern governance government
graduate graduation
grant grant
gratify gratification
gravitate gravitation
greet greeting
grieve grief
grow growth grower
guarantee guarantee
guard guarding guard
guess guess
guide guidance guide
gyrate gyration
habituate habituation
hack hacker
hail hail
hallucinate hallucination
halt halt
handle handling
hang hanging
happen happening
harass harassment
harm harm
harmonize harmonization
harvest harvest
hate hatred
haunt haunting
head head
hear hearing
hedge hedging
help help helper
herd herder
hesitate hesitation
heterodimerize heterodimerization
hibernate hibernation
hide hiding
highlight highlighting
hike hiker
hinder hindrance
hint hint
hire hiring
hit hit
hoard hoarder
hold out hold-out
hold up hold-up
hold holding holder
homodimerize homodimerization
homogenize homogenization
honor honor
hop hopper
hope hope
